patterns,tags,responses
Makasih,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Thanks,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Thank you,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Oke,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Okey,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Sip,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Mantap,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Baik,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Kepedulian Kemanusiaan dan Sosial,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Etika Akademik dan Profesi,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Kepatuhan terhadap Etika Profesional,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Kesadaran Sosial dan Kemanusiaan,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Menghormati Etika Akademik,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Tanggung Jawab Sosial,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Menjunjung Etika dalam Profesi,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Apa arti kepedulian terhadap kemanusiaan dan sosial?,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Mengapa etika akademik dan profesi itu penting?,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Bagaimana cara menunjukkan kepedulian terhadap kemanusiaan?,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Apa yang dimaksud dengan etika akademik?,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Kenapa kita harus peduli terhadap isu-isu sosial?,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Bagaimana cara menjaga etika dalam profesi?,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Apa yang dimaksud dengan tanggung jawab sosial?,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Mengapa penting untuk menjunjung etika dalam profesi?,Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Sikap Profesional,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Tanggung Jawab?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Pembelajaran Berkelanjutan?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Bagaimana menunjukkan sikap profesional?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Apa yang dimaksud dengan sikap profesional?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Mengapa sikap profesional penting dalam pekerjaan?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Apa arti dari tanggung jawab?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Bagaimana cara menunjukkan tanggung jawab?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Mengapa tanggung jawab itu penting?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Apa itu pembelajaran berkelanjutan?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Mengapa pembelajaran berkelanjutan penting?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Bagaimana cara melakukan pembelajaran berkelanjutan?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Apa manfaat dari pembelajaran berkelanjutan?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Apa manfaat dari pembelajaran berkelanjutan?,Profesional_Tanggung Jawab_dan_Pembelajaran Berkelanjutan,['Menunjukkan sikap profesional dalam kondisi terbatas; memiliki kemampuan dan tanggung jawab untuk bekerja secara mandiri dan/atau dalam tim; dan siap untuk melakukan pembelajaran berkelanjutan']
Kepemimpinan dan Komunikasi,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Pengalaman Kewirausahaan,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Bagaimana cara meningkatkan kepemimpinan dan komunikasi?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Apa yang dimaksud dengan keterampilan kepemimpinan?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Mengapa keterampilan komunikasi itu penting?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Apa yang perlu diketahui tentang kepemimpinan dan komunikasi?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Bagaimana mengembangkan pengalaman kewirausahaan?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Apa manfaat dari pengalaman kewirausahaan?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Mengapa pengalaman kewirausahaan penting dalam karier?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Apa yang dimaksud dengan pengalaman kewirausahaan?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Bagaimana cara memulai perjalanan kewirausahaan?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Bagaimana keterampilan kepemimpinan mendukung kewirausahaan?,Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Pemikiran Kritis/Komputasional,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Penelitian Ilmu Pengetahuan dan Teknologi,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Menulis Karya Ilmiah,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Apa yang dimaksud dengan pemikiran kritis dan komputasional?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Bagaimana cara mengembangkan pemikiran kritis?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Mengapa pemikiran komputasional itu penting?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Apa hubungan antara pemikiran kritis dan penelitian ilmiah?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Bagaimana melakukan penelitian ilmu pengetahuan dan teknologi?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Apa langkah-langkah dalam penelitian ilmiah?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Mengapa penelitian dalam ilmu pengetahuan dan teknologi itu penting?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Apa saja tantangan dalam menulis karya ilmiah?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Bagaimana cara menulis karya ilmiah yang baik?,Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
